time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/policy_gradient_loss,train/explained_variance,train/loss,train/learning_rate,train/value_loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/approx_kl,train/clip_range
62,1,40960,655,,,,,,,,,,
76,2,81920,1064,-0.010281881116097792,-0.3346829414367676,-0.019870363175868988,0.0001,0.10547371111810207,0.0304296875,10,-4.139780169725418,0.007239626,0.2
91,3,122880,1348,-0.011242967454454628,-0.3533362150192261,-0.041057005524635315,0.0001,0.03311206913087517,0.04193359375,20,-4.126965324282646,0.007694068,0.2
103,4,163840,1583,-0.011009480214852374,-0.5609452724456787,-0.06551516801118851,0.0001,0.01207946208654903,0.03869873046875,30,-4.1124485212564466,0.0073619233,0.2
116,5,204800,1764,-0.010796313751052366,-0.9501293897628784,-0.058451950550079346,0.0001,0.006406872354855295,0.04046142578125,40,-4.093463672399521,0.0073306053,0.2
128,6,245760,1918,-0.009294871842575958,-0.5826947689056396,-0.04927649348974228,0.0001,0.0068302721632062455,0.0309033203125,50,-4.082273491024971,0.0066253347,0.2
140,7,286720,2044,-0.009557409898552577,-0.31426680088043213,-0.05385727435350418,0.0001,0.0062627173263172155,0.03052001953125,60,-4.0704905593395235,0.0064657987,0.2
152,8,327680,2152,-0.010007995487685549,-0.8580566644668579,-0.05031534284353256,0.0001,0.0024846194763085807,0.0311962890625,70,-4.068233246207237,0.006484215,0.2
164,9,368640,2244,-0.008773087730514818,-0.30670952796936035,-0.06105101853609085,0.0001,0.002885922411005595,0.0243115234375,80,-4.058929132819176,0.0063407132,0.2
176,10,409600,2323,-0.00930440472337068,-0.12958824634552002,-0.05303727090358734,0.0001,0.0036506954320066143,0.03121337890625,90,-4.050942639708519,0.00648081,0.2
188,11,450560,2392,-0.008204736978659638,-0.11110413074493408,-0.0541263073682785,0.0001,0.0032409980578086105,0.01961669921875,100,-4.048643043637275,0.0055393344,0.2
200,12,491520,2453,-0.008971568339620716,-0.09389877319335938,-0.052503038197755814,0.0001,0.003090567854233086,0.0292919921875,110,-4.04692522764206,0.0060788915,0.2
212,13,532480,2508,-0.009565021928137867,-0.11394357681274414,-0.05385442078113556,0.0001,0.0017435080351424403,0.03173828125,120,-4.038116015791893,0.0062445267,0.2
224,14,573440,2557,-0.009691411693565896,-0.11636734008789062,-0.06252450495958328,0.0001,0.0013979100423239287,0.0298046875,130,-4.036784691810608,0.0059726583,0.2
236,15,614400,2601,-0.00977021011771285,-0.04490864276885986,-0.056385062634944916,0.0001,0.0015471691785933217,0.0294921875,140,-4.03209390938282,0.006288931,0.2
247,16,655360,2644,-0.009877087861932523,-0.07804644107818604,-0.054292283952236176,0.0001,0.0015086785017956572,0.0354541015625,150,-4.027237584590912,0.006700579,0.2
259,17,696320,2681,-0.00949763896263903,-0.047567009925842285,-0.05084497109055519,0.0001,0.0011163172745182236,0.03221923828125,160,-4.021880855560303,0.0064960225,0.2
271,18,737280,2715,-0.009642783016024623,-0.026363372802734375,-0.06252239644527435,0.0001,0.0017500250091507042,0.02887451171875,170,-4.017012271285057,0.006125624,0.2
283,19,778240,2746,-0.010346839772828388,-0.03572726249694824,-0.0532069094479084,0.0001,0.0016764738490019227,0.04017822265625,180,-4.007918857336044,0.006608352,0.2
295,20,819200,2768,-0.009229552455653902,-0.03819680213928223,-0.047635748982429504,0.0001,0.0026258133056398947,0.0326416015625,190,-4.000070315599442,0.006380403,0.2
308,21,860160,2787,-0.010222923881738098,-0.06085562705993652,-0.04996628314256668,0.0001,0.00196904928820004,0.0297802734375,200,-3.9973835909366606,0.0062253857,0.2
320,22,901120,2810,-0.00962493107879709,0.0053081512451171875,-0.05756521597504616,0.0001,0.0027683232009076165,0.02631103515625,210,-3.990669970214367,0.0058665266,0.2
332,23,942080,2834,-0.00891676442042808,0.010218560695648193,-0.05462008714675903,0.0001,0.006108781515540613,0.0330615234375,220,-3.975308682322502,0.0062202048,0.2
344,24,983040,2855,-0.009679710818745661,-0.03563570976257324,-0.05363008752465248,0.0001,0.003477667954903154,0.0359130859375,230,-3.9799918219447137,0.0061840885,0.2
356,25,1024000,2875,-0.010205078799990587,-0.03156626224517822,-0.055615704506635666,0.0001,0.0028070633844617986,0.03762451171875,240,-3.984273717701435,0.0070118485,0.2
368,26,1064960,2893,-0.009609378901368473,-0.004299283027648926,-0.05235419049859047,0.0001,0.0026066622140206164,0.027734375,250,-3.9708169811964034,0.0061829137,0.2
380,27,1105920,2907,-0.010242761792105738,0.03072834014892578,-0.05371846258640289,0.0001,0.0012176087372972688,0.0312841796875,260,-3.977351320385933,0.006153484,0.2
392,28,1146880,2925,-0.008519769222912145,0.01624351739883423,-0.05051269009709358,0.0001,0.005128996063576779,0.03747314453125,270,-3.961164942681789,0.006641534,0.2
404,29,1187840,2936,-0.010822653955256101,-0.0017331838607788086,-0.05133313313126564,0.0001,0.0016417221851588693,0.0367041015625,280,-3.9595213726162912,0.006603267,0.2
416,30,1228800,2952,-0.011062782744556899,-0.04996037483215332,-0.062450408935546875,0.0001,0.0012516835881615407,0.03605712890625,290,-3.947521188259125,0.006430497,0.2
428,31,1269760,2966,-0.009527144007879542,0.04182058572769165,-0.05787749961018562,0.0001,0.0033561251833089047,0.03742431640625,300,-3.9450868102908134,0.006343647,0.2
439,32,1310720,2979,-0.009608537750682444,0.03748053312301636,-0.04977252706885338,0.0001,0.005120905422591022,0.03432373046875,310,-3.935367160141468,0.006357792,0.2
451,33,1351680,2992,-0.011192999303311808,-0.006227374076843262,-0.056169331073760986,0.0001,0.0017900706578438984,0.04211669921875,320,-3.940692218542099,0.0069069965,0.2
463,34,1392640,3004,-0.009984098092536442,0.04555249214172363,-0.05856774374842644,0.0001,0.0025688279403038904,0.03595458984375,330,-3.914524727165699,0.006560914,0.2
475,35,1433600,3016,-0.009992479437096335,0.11153805255889893,-0.039359696209430695,0.0001,0.003372086312811007,0.04070556640625,340,-3.8934712386131287,0.0066674263,0.2
487,36,1474560,3027,-0.011622642389411339,0.15759295225143433,-0.05115995928645134,0.0001,0.0015602488911463297,0.04265380859375,350,-3.897290805876255,0.0068990453,0.2
498,37,1515520,3037,-0.01096734804988955,0.2445942759513855,-0.05276024714112282,0.0001,0.0010738733190009953,0.03990966796875,360,-3.9001386612653732,0.006771125,0.2
510,38,1556480,3047,-0.011139419458777411,0.17886769771575928,-0.05261921510100365,0.0001,0.0019891558102244746,0.04099853515625,370,-3.9017359787225723,0.006694374,0.2
522,39,1597440,3057,-0.010461012907326222,0.17245817184448242,-0.05532417446374893,0.0001,0.002171009583034902,0.0364453125,380,-3.897861714661121,0.0063906847,0.2
534,40,1638400,3066,-0.010353886274824618,0.13817334175109863,-0.045780859887599945,0.0001,0.0029360847108910095,0.039423828125,390,-3.8901980400085447,0.0066428124,0.2
546,41,1679360,3075,-0.011749238169722958,0.250319242477417,-0.052184365689754486,0.0001,0.0017447685806473601,0.04853515625,400,-3.8634010165929795,0.0071465774,0.2
557,42,1720320,3084,-0.011152120226906845,0.3622238039970398,-0.053462330251932144,0.0001,0.001618146770815656,0.0478662109375,410,-3.8524308136105536,0.007250741,0.2
569,43,1761280,3092,-0.010383616196631919,0.20307987928390503,-0.058530014008283615,0.0001,0.0035396269612101607,0.05234619140625,420,-3.865572178065777,0.0073492685,0.2
581,44,1802240,3100,-0.010082201085315318,0.20534086227416992,-0.053643692284822464,0.0001,0.0034209891246428014,0.04441650390625,430,-3.853478119969368,0.0071171774,0.2
593,45,1843200,3108,-0.009860155673959526,0.12012845277786255,-0.04670996963977814,0.0001,0.00409285898465896,0.04694091796875,440,-3.845739547610283,0.0071370727,0.2
604,46,1884160,3115,-0.012335110552667174,0.38257062435150146,-0.05411728098988533,0.0001,0.0011623599112499505,0.05314453125,450,-3.836005231440067,0.007425229,0.2
616,47,1925120,3122,-0.010900106245680946,0.26393967866897583,-0.0555976964533329,0.0001,0.002678418038340169,0.0504052734375,460,-3.836973444521427,0.007224475,0.2
628,48,1966080,3129,-0.010908344147028402,0.2583007216453552,-0.056170832365751266,0.0001,0.0027403797173610658,0.056533203125,470,-3.8365976348519326,0.0071777143,0.2
639,49,2007040,3136,-0.01357533616028377,0.48940277099609375,-0.04562852531671524,0.0001,0.0008425964808338904,0.06361328125,480,-3.8327889493107796,0.008118106,0.2
651,50,2048000,3141,-0.012085203353635735,0.4032478928565979,-0.054135143756866455,0.0001,0.0016587902090395802,0.05704345703125,490,-3.80278595328331,0.007558711,0.2
663,51,2088960,3147,-0.010938662998378278,0.331493616104126,-0.049333103001117706,0.0001,0.002621815000748029,0.05701416015625,500,-3.796501958668232,0.0076685995,0.2
675,52,2129920,3153,-0.010344848858221668,0.32418668270111084,-0.053622376173734665,0.0001,0.004356368760054466,0.0560791015625,510,-3.764339206814766,0.007506156,0.2
687,53,2170880,3158,-0.010321634268475464,0.20808547735214233,-0.04543250799179077,0.0001,0.006035937182168709,0.05635986328125,520,-3.7775895500183108,0.0073767724,0.2
699,54,2211840,3163,-0.011718517274930491,0.3257085680961609,-0.04368457570672035,0.0001,0.004673110780131538,0.05910888671875,530,-3.7766019621491433,0.0076992735,0.2
710,55,2252800,3168,-0.011489081104009528,0.3034753203392029,-0.042574141174554825,0.0001,0.0051478644848975815,0.05747802734375,540,-3.760454161465168,0.007901726,0.2
722,56,2293760,3173,-0.012177648274955573,0.4032359719276428,-0.05652839317917824,0.0001,0.0036373733668006026,0.06315185546875,550,-3.745765447616577,0.008113443,0.2
734,57,2334720,3178,-0.010764654242957477,0.29448312520980835,-0.051577430218458176,0.0001,0.005647306805185508,0.05695068359375,560,-3.746281184256077,0.0077786087,0.2
745,58,2375680,3184,-0.010457155790063552,0.3382875323295593,-0.05260607600212097,0.0001,0.005783206410997082,0.056416015625,570,-3.7200905057787894,0.0076149656,0.2
757,59,2416640,3189,-0.011527194779337151,0.2941443920135498,-0.04163592681288719,0.0001,0.007898711750167422,0.07451171875,580,-3.7174817740917208,0.008117363,0.2
769,60,2457600,3194,-0.00978031578939408,0.40688031911849976,-0.04359932243824005,0.0001,0.005225057852221653,0.05958740234375,590,-3.703449728488922,0.007647005,0.2
780,61,2498560,3199,-0.011012534943001811,0.3964996337890625,-0.048064641654491425,0.0001,0.0040344060452480335,0.0618603515625,600,-3.712775433063507,0.007964985,0.2
792,62,2539520,3204,-0.01248778238063096,0.5554596781730652,-0.05705949291586876,0.0001,0.002325379703033832,0.06798095703125,610,-3.7064568799734117,0.007931965,0.2
804,63,2580480,3209,-0.010763882057071896,0.3344995379447937,-0.0469617024064064,0.0001,0.005227810646028956,0.06029296875,620,-3.6948965400457383,0.007870943,0.2
815,64,2621440,3213,-0.009850672061002114,0.3358386158943176,-0.044255658984184265,0.0001,0.0060456057415285615,0.05306884765625,630,-3.7017963245511054,0.007309644,0.2
827,65,2662400,3218,-0.009789877563889604,0.2788972854614258,-0.04789721965789795,0.0001,0.008194597811816494,0.06484619140625,640,-3.6887744584679605,0.007942888,0.2
