time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/value_loss,train/clip_range,train/entropy_loss,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/loss,train/approx_kl
205,20480,1,99,,,,,,,,,,
381,40960,2,107,0.03137009604368359,0.2,-2.7102820283174514,0.42016708850860596,10,-0.005898040239408146,0.06671875,0.0001,-0.019562270492315292,0.021723952
534,61440,3,115,0.037850834433920684,0.2,-2.685539395809174,0.42052221298217773,20,-0.007097111635084729,0.0642041015625,0.0001,-0.014301477000117302,0.016908973
668,81920,4,122,0.039810612397268415,0.2,-2.700510488152504,0.48411303758621216,30,-0.00580350459262263,0.06259765625,0.0001,-0.023090478032827377,0.020402228
787,102400,5,130,0.036862939135171476,0.2,-2.6953464645147323,0.4671231508255005,40,-0.006991442530124914,0.0644970703125,0.0001,-0.025948887690901756,0.018570235
893,122880,6,137,0.043714288133196534,0.2,-2.6932842648029327,0.42340087890625,50,-0.006980184496205766,0.06537109375,0.0001,-0.01354808546602726,0.018630678
990,143360,7,144,0.03452617652714252,0.2,-2.7061579793691637,0.45410341024398804,60,-0.0054807847805204805,0.05345703125,0.0001,-0.029148872941732407,0.018333893
1076,163840,8,152,0.033262883545830846,0.2,-2.700950110554695,0.46260297298431396,70,-0.006241841852315701,0.0655859375,0.0001,-0.036594197154045105,0.019410122
1155,184320,9,159,0.029214369603432714,0.2,-2.6849908202886583,0.4143145680427551,80,-0.0067796448734588925,0.0651806640625,0.0001,-0.032802216708660126,0.018109715
1227,204800,10,166,0.033532106252387166,0.2,-2.6687757843732833,0.4005216956138611,90,-0.0072672199827502485,0.063681640625,0.0001,-0.02390149235725403,0.020294365
1292,225280,11,174,0.031218746886588634,0.2,-2.6483656334877015,0.39819276332855225,100,-0.0065960422746138645,0.0565673828125,0.0001,-0.00870721135288477,0.017499685
1351,245760,12,181,0.04380596656817943,0.2,-2.659245718717575,0.39268606901168823,110,-0.006357757126679644,0.0621728515625,0.0001,-0.013037176802754402,0.01966838
1406,266240,13,189,0.041118243583478035,0.2,-2.6412010085582733,0.45150238275527954,120,-0.006866852108796593,0.0615576171875,0.0001,-0.018367579206824303,0.020419678
1457,286720,14,196,0.0327610182762146,0.2,-2.6600158804655076,0.40341562032699585,130,-0.00787593148270389,0.0686328125,0.0001,-0.02927558124065399,0.018689016
1505,307200,15,204,0.04302413044963032,0.2,-2.62158972799778,0.47847312688827515,140,-0.00653768764634151,0.0600732421875,0.0001,-0.017246706411242485,0.018163979
1549,327680,16,211,0.030745990718714894,0.2,-2.6421479791402818,0.3967165946960449,150,-0.006116848064120859,0.0532763671875,0.0001,-0.02436978369951248,0.01920528
1591,348160,17,218,0.03831279916223138,0.2,-2.615913900732994,0.43691205978393555,160,-0.006477253549091983,0.0648828125,0.0001,-0.015613250434398651,0.018661538
1630,368640,18,226,0.030260652573779225,0.2,-2.6269139784574507,0.35665827989578247,170,-0.006604763361538062,0.0657470703125,0.0001,-0.016727488487958908,0.020596001
1666,389120,19,233,0.036334807141683995,0.2,-2.5950248193740846,0.47331303358078003,180,-0.005817213915288448,0.058515625,0.0001,-0.010089725255966187,0.017352456
1700,409600,20,240,0.02548092483310029,0.2,-2.6064152520895005,0.3659530282020569,190,-0.0048751057006302286,0.0585205078125,0.0001,-0.018430078402161598,0.01637304
1732,430080,21,248,0.03429602153599262,0.2,-2.5888288682699203,0.4841759204864502,200,-0.006974391015537549,0.056142578125,0.0001,-0.02257400006055832,0.017665261
1763,450560,22,255,0.033575650500133634,0.2,-2.595314213633537,0.41043907403945923,210,-0.0063213794509647415,0.058427734375,0.0001,-0.02214585617184639,0.016825382
1791,471040,23,262,0.03208193617872894,0.2,-2.615221145749092,0.35439860820770264,220,-0.006751596266403794,0.063232421875,0.0001,-0.025603560730814934,0.018999036
1818,491520,24,270,0.03921451026573777,0.2,-2.5920501071214677,0.4318121671676636,230,-0.005398992607952096,0.0668505859375,0.0001,-0.011254891753196716,0.020352527
1843,512000,25,277,0.029414213611744344,0.2,-2.6288890010118484,0.398648738861084,240,-0.007039553967770189,0.0695361328125,0.0001,-0.027285702526569366,0.01804317
1868,532480,26,285,0.040301211308687926,0.2,-2.6231930470466613,0.43244028091430664,250,-0.00711494004324777,0.0659375,0.0001,-0.018379420042037964,0.01769194
1889,552960,27,292,0.025673475544899703,0.2,-2.6177591317892075,0.3897551894187927,260,-0.004957053799880668,0.0611865234375,0.0001,-0.02935635671019554,0.019389877
1910,573440,28,300,0.03953799716196954,0.2,-2.634620743393898,0.46092307567596436,270,-0.007224341194378212,0.067900390625,0.0001,-0.02068493515253067,0.019254575
1929,593920,29,307,0.03891200193669647,0.2,-2.6309721159934996,0.4160485863685608,280,-0.0066079404056654314,0.067255859375,0.0001,-0.03211282193660736,0.019353306
1949,614400,30,315,0.0364506761636585,0.2,-2.6445684731006622,0.41709715127944946,290,-0.005372704496840015,0.05853515625,0.0001,-0.010598374530673027,0.019351792
1968,634880,31,322,0.03543682715389877,0.2,-2.6236750572919845,0.47991520166397095,300,-0.006831880766840186,0.0668115234375,0.0001,-0.02245485596358776,0.019009454
1986,655360,32,329,0.03934273333288729,0.2,-2.613682518005371,0.4233744740486145,310,-0.005842997004510835,0.0581591796875,0.0001,-0.021121319383382797,0.017113004
2003,675840,33,337,0.028896836945787072,0.2,-2.63714495241642,0.4014654755592346,320,-0.005440574032400036,0.0631396484375,0.0001,-0.019533095881342888,0.02256333
2019,696320,34,344,0.03957872398663312,0.2,-2.6284795397520067,0.41673743724823,330,-0.006214895944867749,0.0609716796875,0.0001,-0.005231605842709541,0.018317688
2035,716800,35,352,0.03943078942596912,0.2,-2.6333130437135694,0.4609289765357971,340,-0.00644260618952103,0.05837890625,0.0001,-0.023039914667606354,0.01880588
2050,737280,36,359,0.039827048699371516,0.2,-2.6212728673219683,0.46363216638565063,350,-0.005338697537081316,0.0554150390625,0.0001,-0.012214668095111847,0.018418403
2064,757760,37,367,0.03746665749233216,0.2,-2.6191730868816374,0.44135135412216187,360,-0.0051546964622684755,0.06125,0.0001,-0.0254348274320364,0.016985
2077,778240,38,374,0.03828779417090118,0.2,-2.622824191451073,0.45541930198669434,370,-0.006847926951595582,0.061533203125,0.0001,-0.02823023311793804,0.017747376
2091,798720,39,381,0.031706561711616815,0.2,-2.618318054676056,0.4212241768836975,380,-0.006142682654317468,0.0594677734375,0.0001,-0.027244841679930687,0.018470116
2104,819200,40,389,0.02676233928417787,0.2,-2.6410233157873155,0.3776320815086365,390,-0.007827736523468047,0.0674365234375,0.0001,-0.02634377032518387,0.019394
2117,839680,41,396,0.03930455512367189,0.2,-2.612066271305084,0.4185134768486023,400,-0.005298009083198849,0.05482421875,0.0001,-0.01382276602089405,0.017575655
2129,860160,42,403,0.032658736086450514,0.2,-2.6254352813959123,0.40096592903137207,410,-0.006522747037815861,0.0599853515625,0.0001,-0.014194739982485771,0.016942468
2141,880640,43,411,0.04620226247701794,0.2,-2.5958210879564287,0.45714473724365234,420,-0.005850184894225095,0.0594091796875,0.0001,-0.026963340118527412,0.019420136
2152,901120,44,418,0.02494346630293876,0.2,-2.6073427867889403,0.3451853394508362,430,-0.006916080574446823,0.0595458984375,0.0001,-0.02901333011686802,0.017113503
2163,921600,45,425,0.038805219577625394,0.2,-2.6022185719013216,0.36256325244903564,440,-0.0062959443332511,0.0604931640625,0.0001,-0.019774796441197395,0.022331309
